year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
2023,,4.666666666666686,8.0,0.0,4.0,-5.0,0.0,-5.0,-9.666666666666686,10.5,1.0,9.0,-7.833333333333314,1.0,2.0,-1.1666666666666856,-19.5,-9.0,1.0,0.0,-10.166666666666686,-6.666666666666686,-31.0,-16.0,-4.0,7.666666666666686
2024,,-3.0,-13.0,-0.5,-6.0,3.0,-5.0,0.0,-1.0,-1.0,2.8333333333333144,-0.6666666666666856,-0.16666666666668561,3.0,3.0,-8.0,-7.333333333333314,-14.666666666666686,-1.0,-0.16666666666668561,5.0,5.0,3.3333333333333144,-10.0,11.333333333333314,-6.5
2025,,-10.0,-6.333333333333314,-14.666666666666686,5.0,-4.833333333333314,-1.0,-8.166666666666686,-9.0,-3.1666666666666856,-0.8333333333333144,4.0,-1.0,-5.0,-7.333333333333314,-5.0,-9.166666666666686,-14.0,-17.0,-3.0,-6.0,-5.0,-5.0,-3.1666666666666856,2.0,7.0
2026,,3.0,-5.0,1.0,-1.0,-12.0,3.0,0.6666666666666856,-18.0,14.0,0.6666666666666856,5.166666666666686,6.0,8.0,-3.5,-5.0,-7.0,0.0,3.6666666666666856,15.0,1.0,-8.0,-10.0,1.0,-17.166666666666686,5.0
2027,,-11.0,-3.8333333333333144,5.0,-8.5,-6.0,-3.1666666666666856,3.0,-7.0,-6.5,0.0,-8.0,-0.5,2.6666666666666856,-5.666666666666686,3.0,3.0,7.166666666666686,3.8333333333333144,2.6666666666666856,3.0,-5.0,11.0,5.0,-7.666666666666686,-10.833333333333314
2028,,-11.0,-10.0,-3.0,11.666666666666686,-4.666666666666686,-9.0,-5.0,7.0,-3.0,5.0,-3.0,-4.0,-4.0,-14.0,0.16666666666668561,1.0,-6.0,1.5,7.0,4.0,2.0,2.8333333333333144,-5.0,6.0,18.0
2029,,-1.0,-2.5,-11.0,-8.833333333333314,-3.1666666666666856,-1.5,1.0,-10.0,-5.666666666666686,4.0,-4.0,6.0,1.0,2.8333333333333144,-10.0,-4.0,4.0,0.0,7.0,-10.333333333333314,8.5,-18.0,2.0,7.833333333333314,-1.0
2030,,8.0,-10.0,7.833333333333314,-4.0,10.333333333333314,-13.0,8.0,10.0,-2.0,2.1666666666666856,-1.8333333333333144,-20.0,-3.0,-3.0,5.0,7.0,-5.0,-5.0,5.0,-9.0,-4.0,-5.0,8.666666666666686,6.0,-4.0
2031,,-14.0,5.0,-19.833333333333314,-10.0,-13.0,2.3333333333333144,-7.5,-2.0,-4.0,-8.0,9.0,-3.0,10.833333333333314,-1.0,-5.0,-6.5,-8.666666666666686,-14.0,-16.333333333333314,-2.1666666666666856,3.0,-16.0,-7.833333333333314,6.5,3.0
2032,,3.0,-4.0,-7.0,8.0,-1.0,-11.333333333333314,-2.0,13.0,-2.0,-4.0,-5.0,-14.333333333333314,1.0,-4.833333333333314,-8.333333333333314,-0.16666666666668561,9.0,-16.0,6.0,9.0,-20.0,-14.0,7.0,-4.5,-4.0
