year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
2012,,-41.833333333333485,-157.66666666666674,-156.83333333333348,294.6666666666665,-113.5,67.5,146.33333333333326,-575.6666666666667,-506.5000000000001,-138.16666666666674,-139.16666666666674,-99.0,-42.333333333333485,-600.3333333333334,-72.16666666666674,-236.16666666666674,-68.16666666666674,-411.83333333333337,188.16666666666652,5.3333333333332575,299.5,-253.0000000000001,-182.16666666666674,-71.16666666666674,42.33333333333326
2013,,-71.83333333333348,172.83333333333326,116.66666666666652,-44.5,-129.66666666666674,-35.5,-182.66666666666674,-72.16666666666674,-610.0000000000001,-321.33333333333337,-192.5000000000001,-99.5,178.16666666666652,-149.83333333333348,222.0,-70.5,-685.5000000000001,-259.5000000000001,-99.33333333333348,-404.66666666666674,214.16666666666652,-191.0000000000001,354.83333333333326,134.0,285.33333333333326
2014,,-92.66666666666674,-182.16666666666674,-213.5000000000001,-195.5000000000001,-93.33333333333348,4.166666666666515,594.6666666666665,52.5,76.16666666666652,-124.5,-47.333333333333485,-402.33333333333337,66.16666666666652,87.5,-79.16666666666674,-764.6666666666667,255.33333333333326,337.1666666666665,89.66666666666652,-131.5,-304.0000000000001,-244.83333333333337,-486.5000000000001,70.16666666666652,-260.0000000000001
2015,,-556.3333333333334,-10.166666666666742,-444.33333333333337,-197.83333333333337,-153.16666666666674,144.66666666666652,-17.166666666666742,156.16666666666652,103.33333333333326,-223.83333333333337,272.0,74.83333333333326,-101.66666666666674,-312.5000000000001,-274.33333333333337,-116.83333333333348,-482.0000000000001,-582.3333333333334,123.83333333333326,-302.33333333333337,221.16666666666652,-8.5,515.3333333333333,-109.16666666666674,-7.333333333333485
2016,,-79.0,-444.33333333333337,147.66666666666652,-150.33333333333348,31.666666666666515,-45.333333333333485,-188.33333333333337,-232.83333333333337,-159.83333333333348,-360.0000000000001,-326.66666666666674,113.5,-66.0,203.83333333333326,-319.66666666666674,8.0,-281.66666666666674,-56.5,-96.83333333333348,-482.16666666666674,-168.33333333333348,11.5,-612.0000000000001,193.66666666666652,51.5
2017,,-256.0000000000001,32.5,-181.0000000000001,-292.83333333333337,7.8333333333332575,224.33333333333326,-43.0,133.5,-151.0,-260.33333333333337,-1.5,143.66666666666652,-445.5000000000001,119.0,-77.0,-239.5000000000001,-63.66666666666674,-285.83333333333337,-5.5,-35.333333333333485,-512.3333333333334,155.5,-221.83333333333337,7.8333333333332575,54.83333333333326
2018,,49.666666666666515,-205.16666666666674,205.5,-192.33333333333337,-78.66666666666674,-163.33333333333348,-218.83333333333337,-18.166666666666742,-68.0,-202.83333333333337,-79.33333333333348,-134.16666666666674,-356.5000000000001,0.0,-637.3333333333334,-264.16666666666674,-124.83333333333348,-282.66666666666674,-73.0,-89.0,115.66666666666652,236.66666666666652,-298.33333333333337,-437.33333333333337,-115.5
2019,,-12.5,-97.16666666666674,-128.83333333333348,-89.83333333333348,-243.5000000000001,-419.16666666666674,-600.8333333333334,-105.33333333333348,157.5,282.0,-35.833333333333485,-65.66666666666674,89.66666666666652,65.83333333333326,-240.33333333333337,-489.0000000000001,-38.333333333333485,-208.16666666666674,-382.66666666666674,-162.16666666666674,-313.0000000000001,78.16666666666652,-413.66666666666674,141.0,-410.5000000000001
2020,,-432.5000000000001,230.0,85.83333333333326,-294.5000000000001,-293.66666666666674,137.0,240.16666666666652,242.16666666666652,35.666666666666515,122.16666666666652,-33.66666666666674,48.166666666666515,-249.16666666666674,-291.66666666666674,350.83333333333326,-225.0000000000001,-251.5000000000001,-35.16666666666674,182.66666666666652,-112.33333333333348,103.33333333333326,39.5,-537.1666666666667,-40.333333333333485,-97.66666666666674
2021,,-58.5,-130.16666666666674,-252.5000000000001,-97.16666666666674,-194.83333333333337,183.16666666666652,514.5,-81.83333333333348,245.83333333333326,-109.5,167.33333333333326,53.33333333333326,192.5,-337.5000000000001,25.666666666666515,392.5,18.166666666666515,-12.833333333333485,-609.8333333333334,303.0,117.5,-163.83333333333348,2.0,525.0,254.0
